date,feature_index,NO2
2022-10-02T00:00:00.000Z,0,4.80883841023401E-5
2022-10-01T00:00:00.000Z,0,
2022-10-05T00:00:00.000Z,0,
2022-10-04T00:00:00.000Z,0,
2022-09-30T00:00:00.000Z,0,
2022-10-06T00:00:00.000Z,0,
2022-10-03T00:00:00.000Z,0,4.014433125121286E-5
2022-12-16T00:00:00.000Z,0,
2022-12-12T00:00:00.000Z,0,3.330099201882738E-5
2022-12-15T00:00:00.000Z,0,6.875517296326247E-5
2022-12-17T00:00:00.000Z,0,
2022-12-13T00:00:00.000Z,0,4.219145978368033E-5
2022-12-14T00:00:00.000Z,0,4.109745471699474E-5
2022-12-11T00:00:00.000Z,0,2.3326692354904328E-5
2022-12-10T00:00:00.000Z,0,5.216735446773437E-5
2025-06-18T00:00:00.000Z,0,4.9490371566207614E-5
2025-06-20T00:00:00.000Z,0,
2025-06-22T00:00:00.000Z,0,3.366519922565203E-5
2025-06-19T00:00:00.000Z,0,
2025-06-24T00:00:00.000Z,0,4.169072378447579E-5
2025-06-17T00:00:00.000Z,0,4.817901110352697E-5
2025-06-23T00:00:00.000Z,0,4.3206973211789246E-5
2025-06-21T00:00:00.000Z,0,3.639070742476337E-5
2025-09-30T00:00:00.000Z,0,1.3867466179817711E-5
2025-09-29T00:00:00.000Z,0,3.055921223101311E-5
2022-10-21T00:00:00.000Z,0,
2022-10-16T00:00:00.000Z,0,5.0066507962280106E-5
2022-10-20T00:00:00.000Z,0,
2022-10-19T00:00:00.000Z,0,6.087826914153993E-5
2022-10-18T00:00:00.000Z,0,
2022-10-22T00:00:00.000Z,0,4.094397486369417E-5
2022-10-17T00:00:00.000Z,0,
2022-10-15T00:00:00.000Z,0,4.09537900623036E-5
2022-11-21T00:00:00.000Z,0,
2022-11-17T00:00:00.000Z,0,
2022-11-23T00:00:00.000Z,0,3.84143422706984E-5
2022-11-18T00:00:00.000Z,0,
2022-11-20T00:00:00.000Z,0,
2022-11-22T00:00:00.000Z,0,
2022-11-16T00:00:00.000Z,0,
2022-11-19T00:00:00.000Z,0,
2023-01-10T00:00:00.000Z,0,4.991138676383631E-5
2023-01-08T00:00:00.000Z,0,5.847069526983736E-5
2023-01-09T00:00:00.000Z,0,
2023-01-03T00:00:00.000Z,0,1.926102595461998E-5
2023-01-05T00:00:00.000Z,0,3.035022708555234E-5
2023-01-04T00:00:00.000Z,0,4.352810817810958E-5
2023-01-07T00:00:00.000Z,0,2.8602438509677024E-5
2023-01-06T00:00:00.000Z,0,2.171748965338338E-5
2023-05-02T00:00:00.000Z,0,2.360832000444394E-5
2023-04-29T00:00:00.000Z,0,
2023-04-25T00:00:00.000Z,0,2.7416711492726473E-5
2023-05-01T00:00:00.000Z,0,2.4968336028426786E-5
2023-04-26T00:00:00.000Z,0,2.164515845994602E-5
2023-04-30T00:00:00.000Z,0,2.4844590261636767E-5
2023-04-28T00:00:00.000Z,0,5.201448319977234E-5
2023-04-27T00:00:00.000Z,0,2.8845005241843562E-5
2023-11-02T00:00:00.000Z,0,2.965213281306799E-5
2023-11-01T00:00:00.000Z,0,4.920156415933814E-5
2023-10-28T00:00:00.000Z,0,2.8902872702242254E-5
2023-10-31T00:00:00.000Z,0,4.6576369603993654E-5
2023-10-29T00:00:00.000Z,0,3.79734526121661E-5
2023-10-30T00:00:00.000Z,0,3.126389169572539E-5
2022-12-05T00:00:00.000Z,0,
2022-12-07T00:00:00.000Z,0,4.383843810905496E-5
2022-12-08T00:00:00.000Z,0,3.1868569143019464E-5
2022-12-03T00:00:00.000Z,0,
2022-12-06T00:00:00.000Z,0,2.8120673596276903E-5
2022-12-04T00:00:00.000Z,0,
2022-12-09T00:00:00.000Z,0,3.3079036029448616E-5
2022-12-02T00:00:00.000Z,0,
2023-02-28T00:00:00.000Z,0,
2023-03-05T00:00:00.000Z,0,3.466488548535077E-5
2023-03-04T00:00:00.000Z,0,1.4564880643774814E-5
2023-03-06T00:00:00.000Z,0,3.510376365738921E-5
2023-03-01T00:00:00.000Z,0,
2023-03-07T00:00:00.000Z,0,6.558954191859812E-5
2023-03-03T00:00:00.000Z,0,3.252664780913929E-5
2023-03-02T00:00:00.000Z,0,
2023-05-08T00:00:00.000Z,0,2.803163802540935E-5
2023-05-03T00:00:00.000Z,0,2.9528060003166443E-5
2023-05-04T00:00:00.000Z,0,2.7076626273420906E-5
2023-05-06T00:00:00.000Z,0,4.05083982210878E-5
2023-05-07T00:00:00.000Z,0,3.648461539082096E-5
2023-05-05T00:00:00.000Z,0,3.111083339414715E-5
2023-05-09T00:00:00.000Z,0,
2023-05-10T00:00:00.000Z,0,
2023-11-28T00:00:00.000Z,0,
2023-12-03T00:00:00.000Z,0,1.3567023643190623E-5
2023-12-01T00:00:00.000Z,0,
2023-12-02T00:00:00.000Z,0,
2023-11-30T00:00:00.000Z,0,4.379487898787422E-5
2023-11-29T00:00:00.000Z,0,5.094533474315038E-5
2023-12-04T00:00:00.000Z,0,
2023-11-27T00:00:00.000Z,0,6.464971193054225E-5
2024-10-21T00:00:00.000Z,0,
2024-10-20T00:00:00.000Z,0,1.8071494912763946E-5
2024-10-23T00:00:00.000Z,0,4.529552761061281E-5
2024-10-25T00:00:00.000Z,0,6.398677471545798E-5
2024-10-26T00:00:00.000Z,0,5.503318360903601E-5
2024-10-24T00:00:00.000Z,0,8.082768834035104E-5
2024-10-27T00:00:00.000Z,0,3.6248307192088725E-5
2024-10-22T00:00:00.000Z,0,6.739036871294957E-5
2025-03-13T00:00:00.000Z,0,
2023-04-06T00:00:00.000Z,0,
2023-04-04T00:00:00.000Z,0,2.980350756034669E-5
2023-04-08T00:00:00.000Z,0,6.343788048806822E-5
2023-04-02T00:00:00.000Z,0,3.362605240695035E-5
2023-04-03T00:00:00.000Z,0,4.8846883873920885E-5
2023-04-07T00:00:00.000Z,0,5.223831216095608E-5
2023-04-01T00:00:00.000Z,0,6.586846887200539E-5
2023-04-05T00:00:00.000Z,0,9.198404586641118E-5
2023-06-11T00:00:00.000Z,0,2.3798734988034198E-5
2023-06-08T00:00:00.000Z,0,5.236851816613237E-5
2023-06-09T00:00:00.000Z,0,4.9885841628958984E-5
2023-06-07T00:00:00.000Z,0,4.819675354044694E-5
2023-06-06T00:00:00.000Z,0,4.1633504501394626E-5
2023-06-04T00:00:00.000Z,0,4.1764474048654344E-5
2023-06-10T00:00:00.000Z,0,5.2892150165462226E-5
2023-06-05T00:00:00.000Z,0,4.3168920747120865E-5
2024-04-06T00:00:00.000Z,0,5.504266462392277E-5
2024-04-07T00:00:00.000Z,0,1.983355832635425E-5
2024-04-04T00:00:00.000Z,0,5.984124436508864E-5
2024-04-05T00:00:00.000Z,0,4.715143846364559E-5
2024-04-09T00:00:00.000Z,0,
2024-04-10T00:00:00.000Z,0,
2024-04-08T00:00:00.000Z,0,1.9518606292806977E-5
2024-04-03T00:00:00.000Z,0,4.040100797599576E-5
2023-09-22T00:00:00.000Z,0,4.505351096833527E-5
2023-09-23T00:00:00.000Z,0,2.773888450157793E-5
2023-09-18T00:00:00.000Z,0,4.717606881448384E-5
2023-09-17T00:00:00.000Z,0,3.345920204419936E-5
