,date,NO2
0,2022-09-30,4.80883841023401e-05
1,2022-10-01,4.80883841023401e-05
2,2022-10-02,4.80883841023401e-05
3,2022-10-03,4.014433125121286e-05
4,2022-10-04,3.863404926435648e-05
5,2022-10-05,3.71237672775001e-05
6,2022-10-06,3.561348529064372e-05
7,2022-10-07,3.410320330378734e-05
8,2022-10-08,3.571542098060573e-05
9,2022-10-09,5.4591795333180926e-05
10,2022-10-10,5.5063297762759387e-05
11,2022-10-11,4.441537058136543e-05
12,2022-10-12,3.3767443399971474e-05
13,2022-10-13,3.880785649622946e-05
14,2022-10-14,4.124410130706175e-05
15,2022-10-15,4.09537900623036e-05
16,2022-10-16,5.0066507962280106e-05
17,2022-10-17,5.3670428355366714e-05
18,2022-10-18,5.727434874845332e-05
19,2022-10-19,6.087826914153993e-05
20,2022-10-20,5.4233504382258006e-05
21,2022-10-21,4.758873962297609e-05
22,2022-10-22,4.094397486369417e-05
23,2022-10-23,5.842072763092195e-05
24,2022-10-24,4.776272689923644e-05
25,2022-10-25,3.710472616755093e-05
26,2022-10-26,3.6196508750380145e-05
27,2022-10-27,3.528829133320935e-05
28,2022-10-28,3.4380073916038566e-05
29,2022-10-29,3.73430106014935e-05
30,2022-10-30,4.030594728694843e-05
31,2022-10-31,6.167157536967554e-05
32,2022-11-01,4.849953970228348e-05
33,2022-11-02,3.5327504034891416e-05
34,2022-11-03,2.912571585511614e-05
35,2022-11-04,2.615994667899536e-05
36,2022-11-05,3.7727441394963535e-05
37,2022-11-06,3.8645835024325584e-05
38,2022-11-07,3.956422865368763e-05
39,2022-11-08,4.048262228304968e-05
40,2022-11-09,3.703253794336553e-05
41,2022-11-10,3.3582453603681395e-05
42,2022-11-11,3.013236926399725e-05
43,2022-11-12,2.6682284924313106e-05
44,2022-11-13,2.323220058462896e-05
45,2022-11-14,1.978211624494482e-05
46,2022-11-15,2.1852363581139662e-05
47,2022-11-16,2.3922610917334504e-05
48,2022-11-17,2.5992858253529346e-05
49,2022-11-18,2.806310558972419e-05
50,2022-11-19,3.013335292591903e-05
51,2022-11-20,3.2203600262113876e-05
52,2022-11-21,3.4273847598308714e-05
53,2022-11-22,3.634409493450355e-05
54,2022-11-23,3.84143422706984e-05
55,2022-11-24,3.6548377540050434e-05
56,2022-11-25,3.468241280940247e-05
57,2022-11-26,3.281644807875451e-05
58,2022-11-27,3.095048334810655e-05
59,2022-11-28,2.9084518617458584e-05
60,2022-11-29,2.721855388681062e-05
61,2022-11-30,2.535258915616266e-05
62,2022-12-01,9.291620153817348e-05
63,2022-12-02,7.995709594979416e-05
64,2022-12-03,6.699799036141485e-05
65,2022-12-04,5.403888477303553e-05
66,2022-12-05,4.107977918465621e-05
67,2022-12-06,2.8120673596276903e-05
68,2022-12-07,4.383843810905496e-05
69,2022-12-08,3.1868569143019464e-05
70,2022-12-09,3.3079036029448616e-05
71,2022-12-10,5.216735446773437e-05
72,2022-12-11,2.3326692354904328e-05
73,2022-12-12,3.330099201882738e-05
74,2022-12-13,4.219145978368033e-05
75,2022-12-14,4.109745471699474e-05
76,2022-12-15,6.875517296326247e-05
77,2022-12-16,5.789591502475721e-05
78,2022-12-17,4.703665708625195e-05
79,2022-12-18,3.617739914774668e-05
80,2022-12-19,3.849021187563313e-05
81,2022-12-20,4.080302460351959e-05
82,2022-12-21,4.010860619232784e-05
83,2022-12-22,3.969555520435031e-05
84,2022-12-23,3.9282504216372784e-05
85,2022-12-24,3.8869453228395254e-05
86,2022-12-25,3.8456402240417724e-05
87,2022-12-26,3.8043351252440194e-05
88,2022-12-27,3.763030026446267e-05
89,2022-12-28,3.721724927648514e-05
90,2022-12-29,3.37060481494215e-05
91,2022-12-30,3.0194847022357864e-05
92,2022-12-31,2.6683645895294224e-05
93,2023-01-01,2.3172444768230588e-05
94,2023-01-02,1.9661243641166948e-05
95,2023-01-03,1.926102595461998e-05
96,2023-01-04,4.352810817810958e-05
97,2023-01-05,3.035022708555234e-05
98,2023-01-06,2.171748965338338e-05
99,2023-01-07,2.8602438509677024e-05
100,2023-01-08,5.847069526983736e-05
101,2023-01-09,5.419104101683683e-05
102,2023-01-10,4.991138676383631e-05
103,2023-01-11,4.781787198050053e-05
104,2023-01-12,4.744668840430677e-05
105,2023-01-13,6.942005539282323e-05
106,2023-01-14,4.63857735527339e-05
107,2023-01-15,3.4519416052110806e-05
108,2023-01-16,3.509090441054598e-05
109,2023-01-17,3.5103827804641105e-05
110,2023-01-18,3.511675119873623e-05
111,2023-01-19,3.0809799936124166e-05
112,2023-01-20,2.6502848673512096e-05
113,2023-01-21,3.3091992174867925e-05
114,2023-01-22,3.968113567622375e-05
115,2023-01-23,4.6270279177579575e-05
116,2023-01-24,4.2584047284276854e-05
117,2023-01-25,3.889781539097413e-05
118,2023-01-26,3.521158349767142e-05
119,2023-01-27,3.1525351604368695e-05
120,2023-01-28,2.7839119711065973e-05
121,2023-01-29,2.4152887817763254e-05
122,2023-01-30,2.6089811936716693e-05
123,2023-01-31,2.8026736055670135e-05
124,2023-02-01,3.617004726534519e-05
125,2023-02-02,4.431335847502024e-05
126,2023-02-03,4.059795107671314e-05
127,2023-02-04,3.688254367840603e-05
128,2023-02-05,3.316713628009893e-05
129,2023-02-06,2.273256298697864e-05
130,2023-02-07,3.189573787191572e-05
131,2023-02-08,4.1058912756852806e-05
132,2023-02-09,4.211412181120977e-05
133,2023-02-10,4.3169330865566735e-05
134,2023-02-11,4.42245399199237e-05
135,2023-02-12,4.5279748974280665e-05
136,2023-02-13,3.708698386617471e-05
137,2023-02-14,4.010960583400447e-05
138,2023-02-15,3.762291497366732e-05
139,2023-02-16,3.513622411333017e-05
140,2023-02-17,3.2649533252993024e-05
141,2023-02-18,3.0162842392655875e-05
142,2023-02-19,2.8010523844083465e-05
143,2023-02-20,4.681642916265821e-05
144,2023-02-21,2.6556762522886858e-05
145,2023-02-22,2.861821271568153e-05
146,2023-02-23,3.575437585823238e-05
147,2023-02-24,3.426178745939979e-05
148,2023-02-25,2.4048368345575e-05
149,2023-02-26,2.5461414922835716e-05
150,2023-02-27,2.687446150009643e-05
151,2023-02-28,2.8287508077357146e-05
152,2023-03-01,2.9700554654617862e-05
153,2023-03-02,3.111360123187858e-05
154,2023-03-03,3.252664780913929e-05
155,2023-03-04,1.4564880643774814e-05
156,2023-03-05,3.466488548535077e-05
157,2023-03-06,3.510376365738921e-05
158,2023-03-07,6.558954191859812e-05
159,2023-03-08,4.173452413981847e-05
160,2023-03-09,4.317266625135248e-05
161,2023-03-10,3.2755914541363986e-05
162,2023-03-11,4.758493781303736e-05
163,2023-03-12,4.241965195563223e-05
164,2023-03-13,2.3423405799314005e-05
165,2023-03-14,3.584171913860787e-05
166,2023-03-15,2.2630441704181564e-05
167,2023-03-16,2.927324513965969e-05
168,2023-03-17,3.80943196692637e-05
169,2023-03-18,3.149432423015242e-05
170,2023-03-19,2.330907180083029e-05
171,2023-03-20,2.351161122372398e-05
172,2023-03-21,2.371415064661767e-05
173,2023-03-22,3.925494068177861e-05
174,2023-03-23,5.9563846266626015e-05
175,2023-03-24,6.347333510348108e-05
176,2023-03-25,6.71675916237291e-05
177,2023-03-26,7.15698776427113e-05
178,2023-03-27,7.597216366169353e-05
179,2023-03-28,7.39514247037559e-05
180,2023-03-29,7.193068574581827e-05
181,2023-03-30,6.990994678788065e-05
182,2023-03-31,6.788920782994302e-05
183,2023-04-01,6.586846887200539e-05
184,2023-04-02,3.362605240695035e-05
185,2023-04-03,4.8846883873920885e-05
186,2023-04-04,2.980350756034669e-05
187,2023-04-05,9.198404586641118e-05
188,2023-04-06,7.211117901368363e-05
189,2023-04-07,5.223831216095608e-05
190,2023-04-08,6.343788048806822e-05
191,2023-04-09,3.757771557704675e-05
192,2023-04-10,3.1132326137943745e-05
193,2023-04-11,2.468693669884074e-05
194,2023-04-12,4.574026890969392e-05
195,2023-04-13,4.152346068518572e-05
196,2023-04-14,3.730665246067751e-05
197,2023-04-15,4.606262154993601e-05
198,2023-04-16,6.621084830840118e-05
199,2023-04-17,5.280415156118e-05
200,2023-04-18,2.6905144596713472e-05
201,2023-04-19,3.209565915085477e-05
202,2023-04-20,3.0211113467933165e-05
203,2023-04-21,2.8326567785011562e-05
204,2023-04-22,2.6442022102089956e-05
205,2023-04-23,1.9693527403742724e-05
206,2023-04-24,2.268879184557637e-05
207,2023-04-25,2.7416711492726477e-05
208,2023-04-26,2.164515845994602e-05
209,2023-04-27,2.884500524184356e-05
210,2023-04-28,5.201448319977234e-05
211,2023-04-29,3.842953673070455e-05
212,2023-04-30,2.4844590261636767e-05
213,2023-05-01,2.4968336028426783e-05
214,2023-05-02,2.360832000444394e-05
215,2023-05-03,2.9528060003166443e-05
216,2023-05-04,2.7076626273420903e-05
217,2023-05-05,3.111083339414715e-05
218,2023-05-06,4.05083982210878e-05
219,2023-05-07,3.648461539082096e-05
220,2023-05-08,2.803163802540935e-05
221,2023-05-09,2.750532650029333e-05
222,2023-05-10,2.6979014975177304e-05
223,2023-05-11,2.645270345006128e-05
224,2023-05-12,2.592639192494526e-05
225,2023-05-13,3.8981809666438494e-05
226,2023-05-14,4.813012298615397e-05
227,2023-05-15,5.935128683631774e-05
228,2023-05-16,5.1940043704235e-05
229,2023-05-17,6.280399183571503e-05
230,2023-05-18,3.530519640359368e-05
231,2023-05-19,5.351290584823456e-05
232,2023-05-20,3.8831822565749016e-05
233,2023-05-21,2.926091028897719e-05
234,2023-05-22,3.60480889109264e-05
235,2023-05-23,6.178974597233996e-05
236,2023-05-24,3.247711178193306e-05
237,2023-05-25,4.410381762472053e-05
238,2023-05-26,3.778052447085763e-05
239,2023-05-27,5.496713611348749e-05
240,2023-05-28,5.0267114784219305e-05
241,2023-05-29,3.503446269961488e-05
242,2023-05-30,3.0306314876762204e-05
243,2023-05-31,4.704184657941592e-05
244,2023-06-01,3.3266673663278274e-05
245,2023-06-02,4.239226707016185e-05
246,2023-06-03,5.284992407507074e-05
247,2023-06-04,4.176447404865434e-05
248,2023-06-05,4.316892074712087e-05
249,2023-06-06,4.163350450139463e-05
250,2023-06-07,4.819675354044694e-05
251,2023-06-08,5.236851816613237e-05
252,2023-06-09,4.988584162895898e-05
253,2023-06-10,5.289215016546223e-05
254,2023-06-11,2.37987349880342e-05
255,2023-06-12,3.807556579570757e-05
256,2023-06-13,4.609809081518071e-05
257,2023-06-14,2.966061275605616e-05
258,2023-06-15,4.44248904451732e-05
259,2023-06-16,5.487561175805452e-05
260,2023-06-17,3.848329188072892e-05
261,2023-06-18,2.458642448946843e-05
262,2023-06-19,5.143793718960341e-05
263,2023-06-20,6.486959566245787e-05
264,2023-06-21,5.5627875339910935e-05
265,2023-06-22,4.8710398630191776e-05
266,2023-06-23,3.002986782770937e-05
267,2023-06-24,5.468366228398031e-05
268,2023-06-25,4.05476451252231e-05
269,2023-06-26,5.697735201358548e-05
270,2023-06-27,4.957144786506736e-05
271,2023-06-28,4.609015741152689e-05
272,2023-06-29,3.292584771866371e-05
273,2023-06-30,4.559036768534077e-05
274,2023-07-01,3.688474774847877e-05
275,2023-07-02,6.042965625446024e-05
276,2023-07-03,6.0805040962093145e-05
277,2023-07-04,6.513183507195208e-05
278,2023-07-05,3.697683203664264e-05
279,2023-07-06,3.96512980881633e-05
280,2023-07-07,7.968197132868227e-05
281,2023-07-08,5.0165138270585884e-05
282,2023-07-09,2.0648305212489505e-05
283,2023-07-10,5.119428586017181e-05
284,2023-07-11,6.056735669517366e-05
285,2023-07-12,0.0001000086517799028
286,2023-07-13,7.683317505181644e-05
287,2023-07-14,4.158182289228857e-05
288,2023-07-15,3.900388272144952e-05
289,2023-07-16,4.712718911928517e-05
290,2023-07-17,4.1422196356203735e-05
291,2023-07-18,4.325227402140237e-05
292,2023-07-19,3.252365107592985e-05
293,2023-07-20,8.460453782576297e-05
294,2023-07-21,7.877769314204453e-05
295,2023-07-22,3.718739057187625e-05
296,2023-07-23,3.406681157592138e-05
297,2023-07-24,3.180935479521191e-05
298,2023-07-25,4.238356563118508e-05
299,2023-07-26,3.954468775191344e-05
300,2023-07-27,4.6001110158798914e-05
301,2023-07-28,4.0946658619607966e-05
302,2023-07-29,3.326983218060804e-05
303,2023-07-30,2.878805193888737e-05
304,2023-07-31,2.396380125214726e-05
305,2023-08-01,1.9556046115414774e-05
306,2023-08-02,2.6402343089158577e-05
307,2023-08-03,3.376764890367203e-05
308,2023-08-04,3.6697378810559815e-05
309,2023-08-05,4.252121701084638e-05
310,2023-08-06,1.749289389854126e-05
311,2023-08-07,3.215227348029694e-05
312,2023-08-08,3.4424042864207254e-05
313,2023-08-09,3.3028506642986776e-05
314,2023-08-10,3.365463098671558e-05
315,2023-08-11,5.9647637562891255e-05
316,2023-08-12,4.284376600913848e-05
317,2023-08-13,2.6358879049625172e-05
318,2023-08-14,3.671015027699152e-05
319,2023-08-15,4.4746564220318126e-05
320,2023-08-16,3.784862336884699e-05
321,2023-08-17,4.034481467637566e-05
322,2023-08-18,3.492435044268433e-05
323,2023-08-19,3.823287075573141e-05
324,2023-08-20,2.494168112813592e-05
325,2023-08-21,4.3650435089853554e-05
326,2023-08-22,3.090071203011891e-05
327,2023-08-23,3.867591038549424e-05
328,2023-08-24,3.635017282602125e-05
329,2023-08-25,3.731719780076599e-05
330,2023-08-26,3.743319997583773e-05
331,2023-08-27,4.239823503540233e-05
332,2023-08-28,2.997685248596916e-05
333,2023-08-29,4.3038291699545246e-05
334,2023-08-30,2.8166717277840968e-05
335,2023-08-31,3.594862117060242e-05
336,2023-09-01,4.032155180650488e-05
337,2023-09-02,3.209423479978684e-05
