date,feature_index,NO2,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_4,NO2_lag_5,NO2_lag_6,NO2_lag_7,year,month,day,dayofweek,dayofyear,month_sin,month_cos,day_sin,day_cos
2022-12-13 00:00:00+00:00,0,4.219145978368033e-05,3.330099201882738e-05,2.3326692354904328e-05,5.216735446773437e-05,3.3079036029448616e-05,3.1868569143019464e-05,4.383843810905496e-05,2.8120673596276903e-05,2022,12,13,1,347,-2.4492935982947064e-16,1.0,0.48530196253108104,-0.8743466161445821
2022-12-14 00:00:00+00:00,0,4.109745471699474e-05,4.219145978368033e-05,3.330099201882738e-05,2.3326692354904328e-05,5.216735446773437e-05,3.3079036029448616e-05,3.1868569143019464e-05,4.383843810905496e-05,2022,12,14,2,348,-2.4492935982947064e-16,1.0,0.29936312297335804,-0.9541392564000488
2022-12-15 00:00:00+00:00,0,6.875517296326247e-05,4.109745471699474e-05,4.219145978368033e-05,3.330099201882738e-05,2.3326692354904328e-05,5.216735446773437e-05,3.3079036029448616e-05,3.1868569143019464e-05,2022,12,15,3,349,-2.4492935982947064e-16,1.0,0.10116832198743272,-0.994869323391895
2023-02-25 00:00:00+00:00,0,2.4048368345575e-05,3.426178745939979e-05,3.575437585823238e-05,2.861821271568153e-05,2.6556762522886858e-05,4.681642916265821e-05,2.8010523844083465e-05,3.0162842392655875e-05,2023,2,25,5,56,0.8660254037844386,0.5000000000000001,-0.9377521321470804,0.3473052528448203
2023-03-10 00:00:00+00:00,0,3.2755914541363986e-05,4.317266625135248e-05,4.173452413981847e-05,6.558954191859812e-05,3.510376365738921e-05,3.466488548535077e-05,1.4564880643774814e-05,3.252664780913929e-05,2023,3,10,4,69,1.0,6.123233995736766e-17,0.8978045395707416,-0.4403941515576344
2023-03-11 00:00:00+00:00,0,4.758493781303736e-05,3.2755914541363986e-05,4.317266625135248e-05,4.173452413981847e-05,6.558954191859812e-05,3.510376365738921e-05,3.466488548535077e-05,1.4564880643774814e-05,2023,3,11,5,70,1.0,6.123233995736766e-17,0.7907757369376989,-0.6121059825476626
2023-03-12 00:00:00+00:00,0,4.241965195563223e-05,4.758493781303736e-05,3.2755914541363986e-05,4.317266625135248e-05,4.173452413981847e-05,6.558954191859812e-05,3.510376365738921e-05,3.466488548535077e-05,2023,3,12,6,71,1.0,6.123233995736766e-17,0.6513724827222223,-0.758758122692791
2023-03-13 00:00:00+00:00,0,2.3423405799314005e-05,4.241965195563223e-05,4.758493781303736e-05,3.2755914541363986e-05,4.317266625135248e-05,4.173452413981847e-05,6.558954191859812e-05,3.510376365738921e-05,2023,3,13,0,72,1.0,6.123233995736766e-17,0.48530196253108104,-0.8743466161445821
2023-03-14 00:00:00+00:00,0,3.584171913860787e-05,2.3423405799314005e-05,4.241965195563223e-05,4.758493781303736e-05,3.2755914541363986e-05,4.317266625135248e-05,4.173452413981847e-05,6.558954191859812e-05,2023,3,14,1,73,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488
2023-03-15 00:00:00+00:00,0,2.2630441704181564e-05,3.584171913860787e-05,2.3423405799314005e-05,4.241965195563223e-05,4.758493781303736e-05,3.2755914541363986e-05,4.317266625135248e-05,4.173452413981847e-05,2023,3,15,2,74,1.0,6.123233995736766e-17,0.10116832198743272,-0.994869323391895
2023-03-16 00:00:00+00:00,0,2.927324513965969e-05,2.2630441704181564e-05,3.584171913860787e-05,2.3423405799314005e-05,4.241965195563223e-05,4.758493781303736e-05,3.2755914541363986e-05,4.317266625135248e-05,2023,3,16,3,75,1.0,6.123233995736766e-17,-0.10116832198743204,-0.9948693233918952
2023-03-17 00:00:00+00:00,0,3.80943196692637e-05,2.927324513965969e-05,2.2630441704181564e-05,3.584171913860787e-05,2.3423405799314005e-05,4.241965195563223e-05,4.758493781303736e-05,3.2755914541363986e-05,2023,3,17,4,76,1.0,6.123233995736766e-17,-0.2993631229733582,-0.9541392564000488
2023-03-18 00:00:00+00:00,0,3.149432423015242e-05,3.80943196692637e-05,2.927324513965969e-05,2.2630441704181564e-05,3.584171913860787e-05,2.3423405799314005e-05,4.241965195563223e-05,4.758493781303736e-05,2023,3,18,5,77,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822
2023-03-19 00:00:00+00:00,0,2.330907180083029e-05,3.149432423015242e-05,3.80943196692637e-05,2.927324513965969e-05,2.2630441704181564e-05,3.584171913860787e-05,2.3423405799314005e-05,4.241965195563223e-05,2023,3,19,6,78,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911
2023-05-07 00:00:00+00:00,0,3.648461539082096e-05,4.05083982210878e-05,3.111083339414715e-05,2.7076626273420903e-05,2.9528060003166443e-05,2.360832000444394e-05,2.4968336028426783e-05,2.4844590261636767e-05,2023,5,7,6,127,0.49999999999999994,-0.8660254037844387,0.9884683243281114,0.1514277775045767
2023-05-08 00:00:00+00:00,0,2.803163802540935e-05,3.648461539082096e-05,4.05083982210878e-05,3.111083339414715e-05,2.7076626273420903e-05,2.9528060003166443e-05,2.360832000444394e-05,2.4968336028426783e-05,2023,5,8,0,128,0.49999999999999994,-0.8660254037844387,0.9987165071710528,-0.05064916883871264
2023-05-19 00:00:00+00:00,0,5.351290584823456e-05,3.530519640359368e-05,6.280399183571503e-05,5.1940043704235e-05,5.935128683631774e-05,4.813012298615397e-05,3.8981809666438494e-05,2.592639192494526e-05,2023,5,19,4,139,0.49999999999999994,-0.8660254037844387,-0.651372482722222,-0.7587581226927911
2023-05-20 00:00:00+00:00,0,3.8831822565749016e-05,5.351290584823456e-05,3.530519640359368e-05,6.280399183571503e-05,5.1940043704235e-05,5.935128683631774e-05,4.813012298615397e-05,3.8981809666438494e-05,2023,5,20,5,140,0.49999999999999994,-0.8660254037844387,-0.7907757369376986,-0.6121059825476627
2023-05-21 00:00:00+00:00,0,2.926091028897719e-05,3.8831822565749016e-05,5.351290584823456e-05,3.530519640359368e-05,6.280399183571503e-05,5.1940043704235e-05,5.935128683631774e-05,4.813012298615397e-05,2023,5,21,6,141,0.49999999999999994,-0.8660254037844387,-0.8978045395707417,-0.44039415155763423
2023-05-22 00:00:00+00:00,0,3.60480889109264e-05,2.926091028897719e-05,3.8831822565749016e-05,5.351290584823456e-05,3.530519640359368e-05,6.280399183571503e-05,5.1940043704235e-05,5.935128683631774e-05,2023,5,22,0,142,0.49999999999999994,-0.8660254037844387,-0.9680771188662041,-0.2506525322587213
2023-05-23 00:00:00+00:00,0,6.178974597233996e-05,3.60480889109264e-05,2.926091028897719e-05,3.8831822565749016e-05,5.351290584823456e-05,3.530519640359368e-05,6.280399183571503e-05,5.1940043704235e-05,2023,5,23,1,143,0.49999999999999994,-0.8660254037844387,-0.9987165071710528,-0.05064916883871355
2023-05-24 00:00:00+00:00,0,3.247711178193306e-05,6.178974597233996e-05,3.60480889109264e-05,2.926091028897719e-05,3.8831822565749016e-05,5.351290584823456e-05,3.530519640359368e-05,6.280399183571503e-05,2023,5,24,2,144,0.49999999999999994,-0.8660254037844387,-0.9884683243281114,0.15142777750457667
2023-05-25 00:00:00+00:00,0,4.410381762472053e-05,3.247711178193306e-05,6.178974597233996e-05,3.60480889109264e-05,2.926091028897719e-05,3.8831822565749016e-05,5.351290584823456e-05,3.530519640359368e-05,2023,5,25,3,145,0.49999999999999994,-0.8660254037844387,-0.9377521321470804,0.3473052528448203
2023-05-26 00:00:00+00:00,0,3.778052447085763e-05,4.410381762472053e-05,3.247711178193306e-05,6.178974597233996e-05,3.60480889109264e-05,2.926091028897719e-05,3.8831822565749016e-05,5.351290584823456e-05,2023,5,26,4,146,0.49999999999999994,-0.8660254037844387,-0.8486442574947509,0.5289640103269624
2023-05-27 00:00:00+00:00,0,5.496713611348749e-05,3.778052447085763e-05,4.410381762472053e-05,3.247711178193306e-05,6.178974597233996e-05,3.60480889109264e-05,2.926091028897719e-05,3.8831822565749016e-05,2023,5,27,5,147,0.49999999999999994,-0.8660254037844387,-0.72479278722912,0.6889669190756865
2023-05-28 00:00:00+00:00,0,5.0267114784219305e-05,5.496713611348749e-05,3.778052447085763e-05,4.410381762472053e-05,3.247711178193306e-05,6.178974597233996e-05,3.60480889109264e-05,2.926091028897719e-05,2023,5,28,6,148,0.49999999999999994,-0.8660254037844387,-0.5712682150947924,0.8207634412072763
2023-05-29 00:00:00+00:00,0,3.503446269961488e-05,5.0267114784219305e-05,5.496713611348749e-05,3.778052447085763e-05,4.410381762472053e-05,3.247711178193306e-05,6.178974597233996e-05,3.60480889109264e-05,2023,5,29,0,149,0.49999999999999994,-0.8660254037844387,-0.3943558551133187,0.9189578116202306
