sepal length,sepal width,petal length,petal width,Anomaly,Anomaly_Score
5.1,3.5,1.4,0.2,0,-556.2514212711023
4.9,3.0,1.4,0.2,0,-400.0009279294773
4.7,3.2,1.3,0.2,0,-93.42199280281473
4.6,3.1,1.5,0.2,0,-99.22922079684693
5.0,3.6,1.4,0.2,0,-82.17620090369948
5.4,3.9,1.7,0.4,0,-15.175275029376408
4.6,3.4,1.4,0.3,0,-29.098910332137837
5.0,3.4,1.5,0.2,0,-248.58398678092618
4.4,2.9,1.4,0.2,0,-42.38045134143179
4.9,3.1,1.5,0.1,0,-109.73970439925178
5.4,3.7,1.5,0.2,0,-184.45004474281592
4.8,3.4,1.6,0.2,0,-49.662777110140105
4.8,3.0,1.4,0.1,0,-172.91703272184927
4.3,3.0,1.1,0.1,0,-6.2117029610529375
5.8,4.0,1.2,0.2,0,-0.9712668029966526
5.7,4.4,1.5,0.4,0,-0.5923105999302594
5.4,3.9,1.3,0.4,0,-7.147108706748415
5.1,3.5,1.4,0.3,0,-501.2351113993348
5.7,3.8,1.7,0.3,0,-1.7878294588563666
5.1,3.8,1.5,0.3,0,-109.4246791638606
5.4,3.4,1.7,0.2,0,-4.05261271853729
5.1,3.7,1.5,0.4,0,-73.42216904224824
4.6,3.6,1.0,0.2,0,-0.7717451378162977
5.1,3.3,1.7,0.5,0,-18.317537007960798
4.8,3.4,1.9,0.2,0,-2.257558157151056
5.0,3.0,1.6,0.2,0,-29.610081092825055
5.0,3.4,1.6,0.4,0,-138.11898721062403
5.2,3.5,1.5,0.2,0,-49.69456239020815
5.2,3.4,1.4,0.2,0,-49.694560712898905
4.7,3.2,1.6,0.2,0,-147.45163449423367
4.8,3.1,1.6,0.2,0,-523.9997272548428
5.4,3.4,1.5,0.4,0,-11.222208467783938
5.2,4.1,1.5,0.1,0,-12.646258215814532
5.5,4.2,1.4,0.2,0,-8.122338028073598
4.9,3.1,1.5,0.1,0,-109.73970439925178
5.0,3.2,1.2,0.2,0,-22.26050664712477
5.5,3.5,1.3,0.2,0,-3.638188808775081
4.9,3.1,1.5,0.1,0,-109.73970439925178
4.4,3.0,1.3,0.2,0,-128.15225585057823
5.1,3.4,1.5,0.2,0,-836.8074546953692
5.0,3.5,1.3,0.3,0,-69.75312798526984
4.4,3.2,1.3,0.2,0,-44.802545668932936
5.0,3.5,1.6,0.6,0,-15.430668322514146
5.1,3.8,1.9,0.4,0,-3.287214822585664
4.8,3.0,1.4,0.3,0,-29.20925590098667
5.1,3.8,1.6,0.2,0,-33.51162077281016
4.6,3.2,1.4,0.2,0,-147.68986492732432
5.3,3.7,1.5,0.2,0,-317.322238089429
5.0,3.3,1.4,0.2,0,-371.839946670176
7.0,3.2,4.7,1.4,0,-4.656539547979465
6.4,3.2,4.5,1.5,0,-30.170767039746902
6.9,3.1,4.9,1.5,0,-17.993486669531396
5.5,2.3,4.0,1.3,0,-7.0256105015520065
6.5,2.8,4.6,1.5,0,-12.224968326070227
5.7,2.8,4.5,1.3,0,-14.053022980442162
6.3,3.3,4.7,1.6,0,-7.997658813192885
4.9,2.4,3.3,1.0,0,-14.745548316208556
6.6,2.9,4.6,1.3,0,-22.245589463212752
5.2,2.7,3.9,1.4,0,-0.8856008407659417
5.0,2.0,3.5,1.0,0,-2.797274958327802
5.9,3.0,4.2,1.5,0,-22.28831553173594
6.1,2.9,4.7,1.4,0,-67.62198067404213
5.6,2.9,3.6,1.3,0,-2.7065295168676977
6.7,3.1,4.4,1.4,0,-34.91382440467788
5.6,3.0,4.5,1.5,0,-32.85673818516192
5.8,2.7,4.1,1.0,0,-8.098384133145268
6.2,2.2,4.5,1.5,0,-3.0875008747706376
5.6,2.5,3.9,1.1,0,-125.61077816576974
5.9,3.2,4.8,1.8,0,-28.893011001989823
6.1,2.8,4.0,1.3,0,-14.533814901740357
6.3,2.5,4.9,1.5,0,-6.573269895748399
6.1,2.8,4.7,1.2,0,-13.299496947907036
6.4,2.9,4.3,1.3,0,-61.70968233048792
6.6,3.0,4.4,1.4,0,-70.16819307230736
6.8,2.8,4.8,1.4,0,-9.950308731789073
6.7,3.0,5.0,1.7,0,-23.960982218603185
6.0,2.9,4.5,1.5,0,-48.02560491451872
5.7,2.6,3.5,1.0,0,-4.7549981162745585
5.5,2.4,3.8,1.1,0,-153.65055409659647
5.5,2.4,3.7,1.0,0,-82.51243533062609
5.8,2.7,3.9,1.2,0,-34.407606354097766
6.0,2.7,5.1,1.6,0,-18.83404493324321
5.4,3.0,4.5,1.5,0,-3.127325942919117
6.0,3.4,4.5,1.6,0,-1.9366028037056828
6.7,3.1,4.7,1.5,0,-34.91419840884436
6.3,2.3,4.4,1.3,0,-4.201485559448784
5.6,3.0,4.1,1.3,0,-46.55952045133656
5.5,2.5,4.0,1.3,0,-43.77560765719777
5.5,2.6,4.4,1.2,0,-9.626587165609383
6.1,3.0,4.6,1.4,0,-52.16271738507371
