sepal length,sepal width,petal length,petal width,Anomaly,Anomaly_Score
5.1,3.5,1.4,0.2,0,0.9763018
4.9,3.0,1.4,0.2,0,1.0087576
4.7,3.2,1.3,0.2,0,1.0198406
4.6,3.1,1.5,0.2,0,1.0498818
5.0,3.6,1.4,0.2,0,0.9584733
5.4,3.9,1.7,0.4,0,1.1424495
4.6,3.4,1.4,0.3,0,1.0190628
5.0,3.4,1.5,0.2,0,0.9716958
4.4,2.9,1.4,0.2,0,1.1765356
4.9,3.1,1.5,0.1,0,0.9621612
5.4,3.7,1.5,0.2,0,1.0374801
4.8,3.4,1.6,0.2,0,0.9599698
4.8,3.0,1.4,0.1,0,1.0232494
4.3,3.0,1.1,0.1,0,1.326518
5.8,4.0,1.2,0.2,1,1.463125
5.7,4.4,1.5,0.4,1,1.6536262
5.4,3.9,1.3,0.4,0,1.1426656
5.1,3.5,1.4,0.3,0,0.978341
5.7,3.8,1.7,0.3,0,1.2293923
5.1,3.8,1.5,0.3,0,1.0041698
5.4,3.4,1.7,0.2,0,1.017839
5.1,3.7,1.5,0.4,0,0.9978598
4.6,3.6,1.0,0.2,0,1.294602
5.1,3.3,1.7,0.5,0,1.0032128
4.8,3.4,1.9,0.2,0,1.0707355
5.0,3.0,1.6,0.2,0,0.9753181
5.0,3.4,1.6,0.4,0,0.9859532
5.2,3.5,1.5,0.2,0,0.9787812
5.2,3.4,1.4,0.2,0,0.97420883
4.7,3.2,1.6,0.2,0,1.0024723
4.8,3.1,1.6,0.2,0,0.98061687
5.4,3.4,1.5,0.4,0,0.9974945
5.2,4.1,1.5,0.1,0,1.2096319
5.5,4.2,1.4,0.2,0,1.3421556
4.9,3.1,1.5,0.1,0,0.9621612
5.0,3.2,1.2,0.2,0,0.9722862
5.5,3.5,1.3,0.2,0,1.0730029
4.9,3.1,1.5,0.1,0,0.9621612
4.4,3.0,1.3,0.2,0,1.1348836
5.1,3.4,1.5,0.2,0,0.9800247
5.0,3.5,1.3,0.3,0,0.96174973
